room_type,cancellation_policy,price_tier
Private room,strict,Luxury
Entire home/apt,moderate,Economy
Private room,flexible,Luxury
Entire home/apt,moderate,Premium
Entire home/apt,moderate,Mid-range
Entire home/apt,flexible,Premium
Private room,moderate,Budget
Private room,moderate,Luxury
Private room,strict,Mid-range
Entire home/apt,flexible,Luxury
Private room,moderate,Premium
Private room,flexible,Economy
Entire home/apt,moderate,Luxury
Private room,moderate,Economy
Entire home/apt,strict,Luxury
Private room,strict,Premium
Private room,flexible,Premium
Private room,moderate,Mid-range
Shared room,moderate,Luxury
Entire home/apt,flexible,Budget
Entire home/apt,strict,Premium
Entire home/apt,strict,Mid-range
Private room,strict,Economy
Private room,flexible,Budget
Private room,flexible,Mid-range
Private room,strict,Budget
Entire home/apt,flexible,Mid-range
Shared room,moderate,Premium
Entire home/apt,strict,Budget
Entire home/apt,flexible,Economy
Entire home/apt,moderate,Budget
Entire home/apt,strict,Economy
Shared room,flexible,Budget
Shared room,flexible,Luxury
Shared room,flexible,Mid-range
Shared room,strict,Luxury
Shared room,moderate,Economy
Shared room,flexible,Economy
Shared room,flexible,Premium
Shared room,moderate,Mid-range
Shared room,strict,Economy
Shared room,strict,Budget
Shared room,strict,Premium
Shared room,strict,Mid-range
Shared room,moderate,Budget
Hotel room,flexible,Premium
Hotel room,flexible,Mid-range
Hotel room,moderate,Luxury
Hotel room,strict,Mid-range
Hotel room,strict,Luxury
Hotel room,flexible,Luxury
Hotel room,moderate,Premium
Hotel room,strict,Premium
Hotel room,moderate,Budget
Hotel room,flexible,Economy
Hotel room,moderate,Economy
Hotel room,flexible,Budget
Hotel room,moderate,Mid-range
